Window_Pair;Enhancer_CTCF;RNAPII-S2p_CTCF;RNAPII-S7p_RNAPII-S2p;RNAPII-S2p_RNAPII-S2p;Tcf3_EP300;H3K9me3_H3K9me3;ZC3H11A_CTCF;EP300_NANOG;Enhancer_MAFK;RNAPII-S7p_Enhancer;Tcf3_Enhancer;RNAPII-S5p_RNAPII-S2p;Tcf3_RNAPII-S2p;RNAPII-S2p_Oct4;HCFC1_NANOG;RNAPII-S2p_NANOG;Tcf3_CTCF;RNAPII-S5p_Enhancer;Tcf3_MAFK;EP300_ZNF384;RNAPII-S2p_Enhancer;Tcf3_NANOG;Enhancer_NANOG;H3K9me3_Enhancer
chr5:123080000-123120000&chr5:122000000-122040000;1;1;1;1;0;0;0;0;1;1;0;1;0;1;0;1;0;1;0;1;1;0;1;1
chr8:3800000-3840000&chr8:3400000-3440000;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
chr6:47840000-47880000&chr6:45080000-45120000;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chr1:39440000-39480000&chr1:37440000-37480000;1;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0
chr2:23880000-23920000&chr2:20440000-20480000;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0
chr9:113200000-113240000&chr9:111680000-111720000;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
chr11:69720000-69760000&chr11:68040000-68080000;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0
chr6:113920000-113960000&chr6:113280000-113320000;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chr14:13200000-13240000&chr14:10240000-10280000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
chr2:15760000-15800000&chr2:12360000-12400000;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chr8:79840000-79880000&chr8:78280000-78320000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
chr2:72880000-72920000&chr2:70400000-70440000;1;0;0;0;1;0;1;1;1;1;1;0;0;0;1;0;1;1;0;1;0;1;1;1
chr17:32920000-32960000&chr17:29840000-29880000;0;1;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0
chr6:85520000-85560000&chr6:81640000-81680000;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
chr8:18840000-18880000&chr8:16680000-16720000;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chr1:34840000-34880000&chr1:34240000-34280000;0;1;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
chr5:138560000-138600000&chr5:138200000-138240000;1;1;1;1;0;0;1;0;1;1;0;1;0;0;0;0;0;1;0;0;1;0;0;1
chr11:104880000-104920000&chr11:102320000-102360000;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chr17:85240000-85280000&chr17:81240000-81280000;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
chr12:104480000-104520000&chr12:101160000-101200000;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
chr2:151800000-151840000&chr2:148960000-149000000;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
chr12:25480000-25520000&chr12:22760000-22800000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
chr5:122040000-122080000&chr5:118720000-118760000;1;1;1;0;0;0;1;1;0;1;0;0;0;0;1;1;0;1;0;1;1;0;1;0
chr2:75040000-75080000&chr2:71040000-71080000;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
chr8:118200000-118240000&chr8:118040000-118080000;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chr10:59760000-59800000&chr10:58480000-58520000;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
chr6:83120000-83160000&chr6:81640000-81680000;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
chr19:29320000-29360000&chr19:25680000-25720000;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1
chr11:94760000-94800000&chr11:92280000-92320000;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
chr4:9000000-9040000&chr4:6120000-6160000;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
chr10:7560000-7600000&chr10:4280000-4320000;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chr4:15520000-15560000&chr4:14400000-14440000;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chr1:75640000-75680000&chr1:74240000-74280000;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0
chr18:11400000-11440000&chr18:9440000-9480000;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
chr2:36400000-36440000&chr2:35560000-35600000;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0
chr4:123280000-123320000&chr4:122640000-122680000;1;1;1;0;1;0;1;1;1;1;1;1;0;1;1;0;1;1;1;1;1;0;1;0
chr14:87920000-87960000&chr14:87840000-87880000;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chr2:30760000-30800000&chr2:30720000-30760000;1;1;0;0;0;0;1;1;1;1;0;1;0;1;0;0;0;1;0;1;1;0;1;0
chr3:54840000-54880000&chr3:53000000-53040000;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chr5:79440000-79480000&chr5:79280000-79320000;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chr17:16240000-16280000&chr17:13280000-13320000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
chr11:94160000-94200000&chr11:90480000-90520000;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
chr11:83840000-83880000&chr11:81240000-81280000;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0
chr1:94040000-94080000&chr1:93760000-93800000;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chr15:89600000-89640000&chr15:87720000-87760000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
chr18:82120000-82160000&chr18:79760000-79800000;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chr10:126560000-126600000&chr10:125800000-125840000;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chr7:84920000-84960000&chr7:83040000-83080000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
chr14:68040000-68080000&chr14:64120000-64160000;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
chr12:82640000-82680000&chr12:79280000-79320000;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chr5:134880000-134920000&chr5:132200000-132240000;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;1;0;0;1;0;1;0
chr16:31360000-31400000&chr16:30800000-30840000;0;0;1;0;0;0;0;0;1;1;0;1;0;1;0;1;0;1;0;0;1;0;1;1
chr13:58480000-58520000&chr13:58360000-58400000;1;1;1;0;0;1;1;0;0;1;0;1;0;0;0;0;0;1;0;1;1;0;0;1
chr9:107760000-107800000&chr9:107480000-107520000;1;1;1;1;0;0;1;0;0;1;0;1;1;0;1;1;1;1;0;1;1;0;0;0
chr14:75320000-75360000&chr14:75000000-75040000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
chr16:30680000-30720000&chr16:27920000-27960000;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1
chr15:7760000-7800000&chr15:3840000-3880000;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chr2:169120000-169160000&chr2:165760000-165800000;1;1;1;0;0;0;0;1;1;1;0;1;0;0;0;1;0;1;0;0;1;0;1;0
chr7:56560000-56600000&chr7:53520000-53560000;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
chr17:24280000-24320000&chr17:23800000-23840000;1;1;1;1;0;0;1;1;1;1;0;1;0;1;1;1;0;1;0;1;1;0;0;0
chr19:46240000-46280000&chr19:42360000-42400000;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;1;0;0;1;0
chr14:119200000-119240000&chr14:117080000-117120000;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chr8:43320000-43360000&chr8:39720000-39760000;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chr15:41240000-41280000&chr15:37680000-37720000;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1
chr17:71160000-71200000&chr17:69200000-69240000;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
chr7:3520000-3560000&chr7:3400000-3440000;1;1;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1
chr16:93040000-93080000&chr16:89880000-89920000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
chr13:110040000-110080000&chr13:107200000-107240000;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chr19:31160000-31200000&chr19:29040000-29080000;1;1;1;1;0;0;0;1;0;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1
chr6:135120000-135160000&chr6:135000000-135040000;1;1;0;0;1;0;1;1;0;1;1;1;0;0;1;1;1;1;0;1;1;1;1;0
chr2:32400000-32440000&chr2:30800000-30840000;1;1;1;1;0;0;1;0;0;1;0;1;0;1;0;0;0;1;0;0;1;0;0;0
chr18:42480000-42520000&chr18:42440000-42480000;1;1;1;1;0;0;0;0;0;1;0;1;1;1;0;1;1;1;0;0;1;0;0;0
chr15:42480000-42520000&chr15:39480000-39520000;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
chr1:155080000-155120000&chr1:153360000-153400000;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0
chr17:91360000-91400000&chr17:89320000-89360000;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chr19:42720000-42760000&chr19:41440000-41480000;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
chr17:88400000-88440000&chr17:87360000-87400000;1;1;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0
chr9:43600000-43640000&chr9:41160000-41200000;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
chr7:71200000-71240000&chr7:70560000-70600000;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chr1:58400000-58440000&chr1:54920000-54960000;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
chr15:76920000-76960000&chr15:73000000-73040000;1;1;1;1;1;0;0;1;0;1;1;1;1;1;0;1;1;1;0;1;1;0;1;0
chr13:98960000-99000000&chr13:96480000-96520000;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1
chr2:52680000-52720000&chr2:49200000-49240000;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0
chr2:61560000-61600000&chr2:60000000-60040000;1;1;1;0;0;0;0;0;0;1;1;0;1;1;0;1;0;1;0;0;1;1;1;0
chr6:95040000-95080000&chr6:91680000-91720000;1;1;1;1;0;0;1;0;1;1;1;1;1;1;0;1;1;1;1;0;1;0;1;0
chr18:62440000-62480000&chr18:60120000-60160000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
chr15:34880000-34920000&chr15:34720000-34760000;1;1;0;0;1;0;0;0;0;0;1;1;1;1;0;0;1;1;0;0;0;1;0;0
chr9:33760000-33800000&chr9:30400000-30440000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
chr5:143160000-143200000&chr5:139800000-139840000;1;1;1;1;0;0;1;0;0;1;0;1;0;0;1;1;0;1;0;0;1;0;1;0
chr17:88880000-88920000&chr17:86960000-87000000;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
chr14:49200000-49240000&chr14:47840000-47880000;1;1;1;0;0;0;1;0;0;1;0;1;0;0;0;1;0;1;0;0;1;0;1;0
chr7:136240000-136280000&chr7:134680000-134720000;1;0;0;0;0;0;0;0;0;1;0;1;0;1;1;1;0;1;0;0;1;0;0;0
chr6:29400000-29440000&chr6:26920000-26960000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
chr1:183080000-183120000&chr1:182680000-182720000;1;1;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1;0;0;1
chr18:24720000-24760000&chr18:21240000-21280000;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0
chr18:31960000-32000000&chr18:28200000-28240000;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chr11:22640000-22680000&chr11:19480000-19520000;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
chr9:63200000-63240000&chr9:60640000-60680000;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0
chr3:43640000-43680000&chr3:41320000-41360000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
chr1:12760000-12800000&chr1:9000000-9040000;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0
chr1:94520000-94560000&chr1:91080000-91120000;1;1;1;1;0;0;1;0;1;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0
chr9:89320000-89360000&chr9:88000000-88040000;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chr4:135560000-135600000&chr4:133400000-133440000;1;1;1;1;0;0;0;0;1;1;1;1;1;1;0;1;1;1;0;0;1;0;1;0
chr17:29760000-29800000&chr17:27920000-27960000;1;1;1;1;0;0;1;0;1;1;0;1;0;1;0;0;0;1;0;1;1;0;0;0
chr6:47600000-47640000&chr6:43600000-43640000;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0
chr2:137760000-137800000&chr2:135200000-135240000;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chr10:40520000-40560000&chr10:39440000-39480000;1;1;1;1;0;0;0;1;0;1;0;1;0;1;1;1;0;1;0;0;1;0;1;1
chr8:88960000-89000000&chr8:86200000-86240000;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chr11:22000000-22040000&chr11:19720000-19760000;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chr4:104720000-104760000&chr4:101280000-101320000;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
chr13:67520000-67560000&chr13:65640000-65680000;0;1;1;1;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;1;0;0;0
chr10:106800000-106840000&chr10:105280000-105320000;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chr12:72120000-72160000&chr12:70200000-70240000;1;1;1;1;0;0;1;0;0;1;0;1;0;1;1;1;0;1;0;0;1;0;1;0
chr6:59080000-59120000&chr6:56760000-56800000;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0
chr18:35280000-35320000&chr18:34720000-34760000;1;1;1;1;1;0;1;1;0;1;0;1;1;1;1;1;1;1;0;0;1;0;0;1
chr1:38480000-38520000&chr1:38080000-38120000;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
chr9:57160000-57200000&chr9:54560000-54600000;1;1;1;0;0;0;1;0;1;1;0;1;0;1;0;0;0;1;0;1;1;0;0;0
chr10:51120000-51160000&chr10:47200000-47240000;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0
chr17:3760000-3800000&chr17:3560000-3600000;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chr1:160920000-160960000&chr1:159360000-159400000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
chr1:91800000-91840000&chr1:88080000-88120000;1;1;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0
chr4:130440000-130480000&chr4:129040000-129080000;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;0;1;0
chr4:116040000-116080000&chr4:114840000-114880000;1;0;0;0;0;0;0;1;1;0;0;1;0;1;0;0;0;1;0;0;1;0;1;0
chr5:134960000-135000000&chr5:133800000-133840000;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chr10:115880000-115920000&chr10:111920000-111960000;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
chr4:139520000-139560000&chr4:137160000-137200000;1;0;1;0;0;0;0;0;1;1;1;1;1;1;0;1;1;1;1;0;1;0;1;0
chr9:122520000-122560000&chr9:121280000-121320000;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chr11:9120000-9160000&chr11:6400000-6440000;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chr4:25640000-25680000&chr4:22400000-22440000;0;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
chr3:51280000-51320000&chr3:49840000-49880000;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
chr10:6800000-6840000&chr10:4400000-4440000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
chr15:11120000-11160000&chr15:7480000-7520000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
chr2:71400000-71440000&chr2:70400000-70440000;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
chr6:136080000-136120000&chr6:133960000-134000000;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;1;0;1;1;0;1;0
chr17:82760000-82800000&chr17:80920000-80960000;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
chr6:29720000-29760000&chr6:29680000-29720000;1;1;1;1;0;0;0;1;1;1;0;1;0;1;1;1;0;1;0;0;1;0;0;1
chr10:33840000-33880000&chr10:30800000-30840000;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
chr13:48760000-48800000&chr13:45400000-45440000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1
chr4:70040000-70080000&chr4:69920000-69960000;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0
chr15:25800000-25840000&chr15:24360000-24400000;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
chr5:26760000-26800000&chr5:26440000-26480000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
chr6:97920000-97960000&chr6:96240000-96280000;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
chr18:63800000-63840000&chr18:62800000-62840000;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chr10:107880000-107920000&chr10:106320000-106360000;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chr2:147480000-147520000&chr2:146800000-146840000;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
chr19:37720000-37760000&chr19:33840000-33880000;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chr8:86880000-86920000&chr8:84920000-84960000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
chr1:37800000-37840000&chr1:37160000-37200000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
chr3:158000000-158040000&chr3:157760000-157800000;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chr2:15920000-15960000&chr2:13760000-13800000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chr10:73560000-73600000&chr10:69680000-69720000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
chr13:80400000-80440000&chr13:76640000-76680000;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1
chr11:104960000-105000000&chr11:102600000-102640000;1;1;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0
chr5:32160000-32200000&chr5:31440000-31480000;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;1;1;0;0;1
chr9:110920000-110960000&chr9:107960000-108000000;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0
chr5:120320000-120360000&chr5:120200000-120240000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
chr15:31040000-31080000&chr15:27640000-27680000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
chr9:61760000-61800000&chr9:60840000-60880000;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chr14:97120000-97160000&chr14:95160000-95200000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
chr2:68920000-68960000&chr2:65720000-65760000;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
chr11:81120000-81160000&chr11:78560000-78600000;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0
chr6:91320000-91360000&chr6:89280000-89320000;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1
chr6:114240000-114280000&chr6:112520000-112560000;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
chr4:37360000-37400000&chr4:34840000-34880000;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
chr3:118680000-118720000&chr3:116640000-116680000;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chr4:109240000-109280000&chr4:108440000-108480000;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
chr2:152800000-152840000&chr2:149640000-149680000;1;1;0;0;0;0;0;0;1;0;0;1;0;1;0;1;0;1;0;0;0;0;1;1
chr4:135240000-135280000&chr4:134960000-135000000;1;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0
chr1:123680000-123720000&chr1:120720000-120760000;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chr1:82400000-82440000&chr1:79760000-79800000;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
